Age,Gender,Education_Level,Income,Joining Designation,Quarterly Rating,Target_Var,tenure_Months,Total Business Value,Quarterly_Rating_Increase,Income_Increase,City_Encoded
27.0,1.0,0,12906,1,1,1,7,359890,0,0,0.683166962884123
28.0,0.0,2,62100,1,1,1,2,150110,0,0,0.7740665011127292
35.0,0.0,2,77544,3,1,0,7,5227340,1,0,0.5955893821231233
36.0,1.0,2,42171,1,1,1,4,338290,0,0,0.7295003150180094
30.0,0.0,1,28000,1,2,0,3,866270,0,0,0.6077892105070524
21.0,0.0,0,53039,1,1,1,20,1798800,1,0,0.7302630624839633
49.0,1.0,0,89367,3,1,1,3,110310,0,0,0.6001946113311858
33.0,0.0,0,131347,4,1,1,31,3190010,1,0,0.7340256711699624
36.0,0.0,0,48687,3,1,0,6,1852590,1,0,0.5700438883328994
33.0,0.0,1,117993,4,2,0,13,33823290,1,1,0.5313237578674669
30.0,1.0,0,29985,1,1,1,3,0,0,0,0.5955893821231233
34.0,1.0,2,80223,1,3,0,29,11723470,1,0,0.5700438883328994
36.0,1.0,1,84318,1,3,1,36,22791310,1,0,0.6999473490155224
41.0,0.0,0,57987,2,1,1,3,0,0,0,0.6753359528111106
35.0,1.0,1,31644,1,1,1,3,134660,0,0,0.6379843993734239
46.0,1.0,0,82126,1,4,0,52,49225520,1,1,0.7302630624839633
32.0,0.0,2,19818,1,1,1,11,-439300,0,0,0.7028288409112735
27.0,0.0,2,62376,1,1,0,1,0,0,0,0.7065528646360607
26.0,0.0,0,93931,1,1,0,56,12293120,1,0,0.7050484531983688
33.0,0.0,2,66502,2,1,1,4,193940,0,0,0.6741618832945772
28.0,1.0,1,69539,2,2,1,22,11718580,1,0,0.684190247889322
27.0,1.0,2,104286,3,1,0,11,0,0,0,0.6753359528111106
39.0,0.0,2,65982,1,2,0,21,12543500,1,0,0.7194295503654974
30.0,0.0,0,79288,1,3,0,63,27309820,1,0,0.5313237578674669
31.0,1.0,1,64604,2,1,1,13,4640080,1,0,0.684190247889322
35.0,0.0,1,19235,1,1,1,5,0,0,0,0.7302630624839633
43.0,0.0,2,54103,3,1,1,8,188780,0,0,0.7302630624839633
28.0,0.0,2,42242,2,1,0,2,193580,0,0,0.7340256711699624
34.0,1.0,2,59216,2,1,1,9,592270,0,0,0.6001946113311858
25.0,1.0,2,39884,2,2,1,4,2365930,0,0,0.6379843993734239
33.0,0.0,2,63918,1,2,0,31,17959920,1,0,0.6342365899109041
35.0,0.0,0,105946,2,2,0,27,43531510,1,0,0.6077892105070524
32.0,0.0,1,114648,4,1,1,0,0,0,0,0.7340256711699624
29.0,1.0,0,56687,2,1,0,10,153300,0,0,0.684190247889322
38.0,0.0,2,77177,1,2,1,4,3133680,0,0,0.7065528646360607
37.0,1.0,1,89013,3,1,1,4,0,0,0,0.698531179865061
34.0,0.0,2,115159,3,1,1,10,750000,0,0,0.7698585742141875
41.0,0.0,0,25950,1,1,1,12,8688020,1,0,0.5953765525951102
24.0,0.0,2,49509,1,1,0,3,0,0,0,0.6098957440667345
35.0,0.0,2,49510,1,1,1,8,0,0,0,0.763421552435784
36.0,0.0,1,119341,3,1,0,16,36029220,1,0,0.7050484531983688
45.0,1.0,0,62298,2,3,1,9,3248870,0,0,0.6342365899109041
27.0,0.0,1,58977,2,1,1,14,6131430,1,0,0.763421552435784
32.0,0.0,0,29408,2,1,1,10,543640,0,0,0.6098957440667345
31.0,0.0,0,22731,2,1,1,9,200000,0,0,0.6077892105070524
30.0,0.0,2,39527,2,2,1,7,1220120,0,0,0.7740665011127292
28.0,1.0,2,60874,3,1,1,7,0,0,0,0.7340256711699624
34.0,0.0,2,64953,3,1,1,4,0,0,0,0.654375558571176
40.0,1.0,2,80771,3,1,0,9,350000,0,0,0.763421552435784
24.0,0.0,0,57977,2,3,1,16,21415440,1,1,0.5953765525951102
29.0,0.0,0,38068,2,1,1,4,0,0,0,0.7698585742141875
33.0,0.0,0,38945,1,2,1,24,1759840,0,0,0.7092607604412382
22.0,1.0,0,42270,1,1,1,2,0,0,0,0.654375558571176
26.0,1.0,1,68913,2,1,1,4,544380,0,0,0.7194295503654974
30.0,1.0,1,60332,2,1,0,4,1252320,1,0,0.7698585742141875
38.0,0.0,0,67931,1,1,1,8,0,0,0,0.6753359528111106
33.0,1.0,0,57671,1,2,1,32,4504880,0,0,0.6098957440667345
34.0,0.0,2,102142,3,1,1,11,4545450,1,0,0.7065528646360607
37.0,0.0,2,121259,3,1,1,7,864350,0,0,0.6098957440667345
35.0,1.0,0,33927,1,1,0,8,1927920,1,0,0.7050484531983688
32.0,1.0,1,32663,1,1,1,5,251810,0,0,0.5953765525951102
51.0,0.0,1,73769,2,1,1,33,2167840,0,0,0.8160639742891412
44.0,0.0,1,50466,1,3,0,30,13121470,1,0,0.5313237578674669
42.0,1.0,0,47160,1,1,1,3,670440,1,0,0.7092607604412382
32.0,1.0,0,89456,3,1,0,3,0,0,0,0.5700438883328994
44.0,0.0,1,31752,1,2,0,66,12674940,1,0,0.6999473490155224
21.0,0.0,0,16477,1,1,1,17,1116990,1,0,0.7028288409112735
45.0,1.0,1,144978,1,4,0,59,40152720,0,0,0.6999473490155224
42.0,1.0,0,67904,3,1,1,1,150700,0,0,0.6741618832945772
31.0,1.0,1,71000,3,1,1,4,557720,0,0,0.5313237578674669
26.0,0.0,2,114258,3,1,1,6,0,0,0,0.7340256711699624
33.0,1.0,2,58885,3,1,1,2,0,0,0,0.8160639742891412
27.0,0.0,0,57406,2,1,0,5,605760,1,0,0.6989110821540374
43.0,0.0,1,41401,1,2,1,14,2184160,0,0,0.698531179865061
32.0,1.0,2,30847,1,2,1,11,1221780,0,0,0.7092607604412382
33.0,0.0,1,84085,3,1,1,9,-70000,0,0,0.7194295503654974
38.0,1.0,1,60708,2,1,0,1,436190,0,0,0.7050484531983688
37.0,0.0,1,39990,2,2,1,6,2928710,0,0,0.7194295503654974
38.0,1.0,1,79086,2,2,1,73,2620360,0,0,0.5700438883328994
27.0,0.0,2,43165,2,1,1,6,0,0,0,0.7302630624839633
44.0,1.0,2,46858,1,2,1,9,873110,0,0,0.7698585742141875
32.0,0.0,0,76904,3,1,0,0,190550,0,0,0.6741618832945772
28.0,0.0,0,98877,3,1,0,3,1517680,1,0,0.6098957440667345
37.0,1.0,0,47009,1,1,1,14,0,0,0,0.7092607604412382
41.0,0.0,0,33459,2,1,0,7,6570070,1,0,0.7194295503654974
48.0,0.0,2,34827,1,1,1,16,0,0,0,0.6077892105070524
31.0,0.0,1,51850,2,1,1,6,0,0,0,0.7340256711699624
36.0,0.0,1,72253,1,3,0,56,13939940,1,0,0.7065528646360607
35.0,0.0,1,65901,2,1,1,0,0,0,0,0.6098957440667345
24.0,0.0,1,29807,1,1,1,10,122040,0,0,0.5953765525951102
39.0,0.0,2,24150,1,1,1,13,340560,0,0,0.654375558571176
26.0,0.0,2,21933,1,1,1,3,0,0,0,0.7194295503654974
35.0,0.0,1,75112,3,1,1,4,1847280,1,0,0.8160639742891412
36.0,0.0,1,85172,2,1,1,7,0,0,0,0.7065528646360607
41.0,0.0,0,45288,2,1,0,1,0,0,0,0.683166962884123
34.0,1.0,0,61913,3,1,1,3,0,0,0,0.7302630624839633
37.0,0.0,0,29013,1,2,0,57,24273480,1,0,0.7740665011127292
30.0,0.0,0,89602,4,1,1,4,950170,0,0,0.683166962884123
31.0,0.0,0,31547,1,1,1,15,1419720,1,0,0.7740665011127292
37.0,1.0,1,148588,5,1,1,13,1472800,1,0,0.6098957440667345
30.0,0.0,1,47211,1,1,1,7,0,0,0,0.6077892105070524
27.0,0.0,1,118363,2,2,1,16,1602380,0,0,0.6989110821540374
41.0,1.0,1,41046,1,1,1,13,0,0,0,0.7065528646360607
26.0,0.0,1,45832,1,1,1,6,0,0,0,0.6098957440667345
43.0,1.0,1,30121,1,4,1,31,6278140,0,0,0.6753359528111106
37.0,0.0,2,35793,1,1,1,9,0,0,0,0.7295003150180094
35.0,0.0,1,100064,3,1,1,2,0,0,0,0.763421552435784
29.0,0.0,0,25731,1,1,1,1,0,0,0,0.7050484531983688
36.0,1.0,0,106171,1,1,1,17,10395250,1,0,0.6989110821540374
25.0,1.0,2,76307,2,1,1,3,0,0,0,0.6077892105070524
30.2,0.0,1,35283,1,2,1,16,1154620,0,0,0.6379843993734239
25.0,0.0,2,33057,2,3,0,17,12087570,1,0,0.683166962884123
33.0,0.0,2,38409,2,2,1,23,5239360,1,0,0.7340256711699624
35.0,0.0,2,91458,3,2,1,7,1987680,0,0,0.684190247889322
43.0,1.0,1,56242,2,3,1,11,3466180,0,0,0.7698585742141875
41.0,1.0,2,101395,2,2,1,23,5365850,1,0,0.7050484531983688
37.0,0.0,0,56174,1,2,0,79,19866290,1,0,0.7194295503654974
39.0,1.0,1,22065,1,3,1,8,2970500,0,0,0.6077892105070524
30.0,0.0,0,27889,1,1,1,6,19580,0,0,0.8160639742891412
33.0,0.0,0,21276,1,1,1,3,0,0,0,0.683166962884123
30.0,0.0,1,43053,1,1,1,9,600000,0,0,0.6753359528111106
23.0,1.0,0,36637,2,1,1,10,550000,0,0,0.684190247889322
26.0,1.0,2,24490,1,2,1,10,1616780,0,0,0.7028288409112735
34.0,0.0,1,95694,2,1,1,16,0,0,0,0.5313237578674669
30.0,1.0,2,26926,3,1,0,6,0,0,0,0.7740665011127292
32.0,0.0,2,25832,1,1,1,2,866320,1,0,0.6098957440667345
26.0,1.0,2,43263,1,1,1,14,903800,0,0,0.7698585742141875
33.0,1.0,2,62199,2,2,1,8,903160,0,0,0.6077892105070524
29.0,0.0,0,82120,1,1,1,33,2416570,1,0,0.6999473490155224
34.0,0.0,1,20922,2,1,1,13,151600,0,0,0.6989110821540374
33.0,0.0,0,36483,2,1,0,13,2516690,1,0,0.654375558571176
35.0,1.0,0,108051,4,1,1,7,121980,0,0,0.6999473490155224
26.0,1.0,2,63380,3,1,0,12,10666090,1,0,0.7028288409112735
37.0,1.0,1,66952,3,1,0,2,2412240,1,0,0.7065528646360607
46.0,0.0,2,59084,1,3,1,19,9983020,1,0,0.6989110821540374
30.0,0.0,0,54074,2,3,1,5,2000000,0,0,0.5955893821231233
27.0,0.0,0,19419,1,1,1,2,0,0,0,0.6379843993734239
43.0,0.0,1,75001,3,1,1,7,1150720,1,0,0.7340256711699624
40.0,0.0,1,94594,2,1,1,72,1985150,0,0,0.7295003150180094
29.0,0.0,0,87902,1,3,0,49,31533700,1,0,0.7340256711699624
46.0,0.0,1,66707,3,1,1,7,0,0,0,0.5955893821231233
38.0,1.0,0,42260,3,1,1,1,0,0,0,0.6001946113311858
33.0,0.0,0,28921,1,2,0,1,593300,0,0,0.7194295503654974
33.0,1.0,2,84713,3,1,1,19,2816440,1,0,0.6753359528111106
31.0,1.0,0,68151,1,1,1,22,337230,0,0,0.7340256711699624
39.0,0.0,0,15826,1,1,0,0,0,0,0,0.654375558571176
26.0,1.0,0,12968,1,1,0,3,0,0,0,0.7092607604412382
32.0,0.0,0,61894,3,2,1,7,3209720,0,0,0.5313237578674669
31.0,0.0,2,31657,1,1,1,1,376780,0,0,0.5953765525951102
37.0,0.0,2,64583,3,1,0,9,802540,0,0,0.5313237578674669
34.0,1.0,2,81730,3,1,1,2,0,0,0,0.7050484531983688
35.0,0.0,0,59947,2,2,0,32,12182590,1,0,0.698531179865061
25.0,1.0,1,17307,1,1,1,10,1742410,1,0,0.683166962884123
29.0,0.0,1,86340,2,2,1,15,7020890,1,0,0.7302630624839633
31.0,0.0,1,27328,1,4,1,37,5854230,0,0,0.7092607604412382
24.0,0.0,0,27979,1,1,0,5,734620,1,0,0.6077892105070524
35.0,0.0,0,51657,2,2,1,12,2805350,0,0,0.6001946113311858
37.0,1.0,1,107539,2,1,1,71,2784450,1,0,0.6379843993734239
31.0,0.0,0,13051,1,1,1,0,0,0,0,0.6342365899109041
26.0,0.0,0,92753,3,1,1,5,0,0,0,0.763421552435784
25.0,0.0,0,59108,2,2,1,7,1559910,0,0,0.7302630624839633
32.0,1.0,0,44792,3,1,0,5,2242270,1,0,0.7340256711699624
36.0,1.0,1,55528,2,1,1,4,1172300,0,0,0.6379843993734239
44.0,1.0,2,61912,3,3,1,11,7237950,1,0,0.5313237578674669
44.0,0.0,2,53385,1,4,1,41,10390120,0,0,0.7050484531983688
43.0,0.0,0,104995,4,1,1,19,11947410,1,0,0.7194295503654974
33.0,0.0,0,44359,2,2,1,14,5824480,1,0,0.7295003150180094
32.0,0.0,1,21354,1,1,1,6,0,0,0,0.6001946113311858
34.0,0.0,2,23185,1,1,1,10,0,0,0,0.683166962884123
36.0,1.0,1,139139,3,1,0,6,500000,0,0,0.6741618832945772
26.0,1.0,1,52616,2,1,0,11,2800740,1,0,0.7698585742141875
39.0,1.0,0,37873,1,1,1,14,0,0,0,0.5953765525951102
32.0,0.0,0,75626,3,1,0,8,181070,0,0,0.7092607604412382
32.0,0.0,0,40168,2,1,1,5,495310,0,0,0.7302630624839633
24.0,0.0,0,33901,1,1,1,5,0,0,0,0.6999473490155224
28.0,0.0,0,11236,1,1,1,15,0,0,0,0.6077892105070524
26.0,0.0,2,60228,3,1,0,4,483150,0,0,0.6753359528111106
39.0,0.0,2,37346,1,2,1,12,3095340,0,0,0.7302630624839633
38.0,0.0,2,77903,2,1,1,1,0,0,0,0.7698585742141875
42.0,0.0,1,64128,1,2,1,33,2278190,0,0,0.7092607604412382
39.0,1.0,0,27294,2,1,1,4,619900,1,0,0.6753359528111106
35.0,0.0,2,81700,1,4,0,30,28348090,1,0,0.698531179865061
21.0,0.0,0,25172,1,1,1,3,0,0,0,0.7092607604412382
30.0,0.0,1,31655,3,1,1,7,150230,0,0,0.5313237578674669
29.0,0.0,0,25459,1,1,0,9,2658050,1,0,0.8160639742891412
29.0,0.0,1,47864,1,1,1,7,0,0,0,0.698531179865061
41.0,1.0,2,90988,3,2,1,28,7912770,1,0,0.7302630624839633
28.0,1.0,1,24862,2,2,1,6,1200020,0,0,0.763421552435784
24.0,0.0,0,19170,1,1,0,0,289500,0,0,0.7050484531983688
25.0,0.0,2,49439,1,1,1,0,0,0,0,0.7028288409112735
34.0,0.0,1,40381,1,1,0,7,1706780,1,0,0.6342365899109041
42.0,0.0,1,40102,1,2,1,21,2558650,0,0,0.5953765525951102
35.0,0.0,0,89200,3,1,1,12,3643890,1,0,0.6001946113311858
30.0,1.0,1,54352,1,1,1,19,4024340,1,0,0.7050484531983688
36.0,0.0,1,76336,3,1,1,3,260000,0,0,0.7028288409112735
38.0,0.0,2,134529,4,1,0,7,19169110,1,0,0.5313237578674669
35.0,0.0,1,64901,2,1,0,19,8992830,1,0,0.6001946113311858
29.0,0.0,1,40259,1,1,0,4,461970,0,0,0.5953765525951102
39.0,0.0,1,53224,2,1,0,0,0,0,0,0.684190247889322
39.0,0.0,0,89124,1,3,0,59,33697790,1,1,0.7302630624839633
29.0,1.0,1,107495,3,1,0,6,965680,1,0,0.7698585742141875
34.0,0.0,0,52191,1,1,1,29,529010,0,0,0.763421552435784
28.0,1.0,0,41800,1,2,1,13,2736130,0,0,0.763421552435784
32.0,1.0,2,108013,4,1,1,83,6751230,1,0,0.7050484531983688
42.0,1.0,1,78607,3,1,0,2,246810,0,0,0.7302630624839633
29.0,1.0,0,57339,2,1,1,3,0,0,0,0.6077892105070524
27.0,1.0,2,57420,2,1,0,2,0,0,0,0.5313237578674669
34.0,0.0,2,42189,2,1,1,1,0,0,0,0.7302630624839633
30.0,1.0,1,70781,2,1,1,1,150400,0,0,0.698531179865061
30.0,1.0,0,13605,1,1,1,2,0,0,0,0.684190247889322
41.0,1.0,0,62901,2,1,0,0,0,0,0,0.7740665011127292
29.0,0.0,0,51110,2,1,0,5,0,0,0,0.6342365899109041
25.0,1.0,1,66842,1,1,1,3,0,0,0,0.6001946113311858
27.0,1.0,2,49695,2,2,1,5,1273240,0,0,0.7302630624839633
33.0,1.0,2,81858,3,1,1,2,0,0,0,0.5313237578674669
28.0,1.0,1,45981,1,1,1,37,373410,0,0,0.7028288409112735
36.0,0.0,0,13793,1,1,0,2,153360,0,0,0.6077892105070524
29.0,1.0,0,35983,2,1,1,1,225690,0,0,0.5955893821231233
30.0,1.0,1,65094,1,4,0,27,29901450,1,0,0.7302630624839633
38.0,0.0,2,109473,3,1,0,0,0,0,0,0.5955893821231233
38.0,0.0,0,70753,3,1,1,4,1501770,0,0,0.7302630624839633
36.0,1.0,0,25851,1,1,1,2,0,0,0,0.7194295503654974
42.0,0.0,1,78645,1,1,1,43,0,0,0,0.7194295503654974
30.2,0.0,0,20176,1,1,1,11,0,0,0,0.7065528646360607
31.0,1.0,0,53025,2,1,0,0,0,0,0,0.6753359528111106
37.0,0.0,0,80856,2,4,1,30,56839380,1,1,0.6989110821540374
30.0,0.0,2,188418,2,3,0,77,58024490,1,0,0.6001946113311858
30.0,1.0,1,77597,3,1,0,1,0,0,0,0.6001946113311858
27.0,1.0,2,58439,1,1,0,1,0,0,0,0.6342365899109041
34.0,0.0,0,26047,2,1,1,6,0,0,0,0.5953765525951102
31.0,1.0,0,96603,3,1,1,5,150050,0,0,0.683166962884123
29.0,1.0,2,50281,3,1,1,8,0,0,0,0.7065528646360607
47.0,0.0,2,42592,1,1,1,4,250000,0,0,0.654375558571176
34.0,0.0,1,59936,2,1,1,13,5195840,1,0,0.6001946113311858
33.0,1.0,1,37890,1,1,1,3,0,0,0,0.6342365899109041
30.0,0.0,2,51819,3,1,1,7,0,0,0,0.6741618832945772
27.0,1.0,0,56813,1,4,0,29,30153680,0,1,0.7302630624839633
26.0,1.0,1,29869,1,1,1,13,242500,0,0,0.7295003150180094
41.0,1.0,0,57245,2,1,1,5,400000,0,0,0.7050484531983688
29.0,1.0,2,64558,2,1,0,7,3159800,1,0,0.5313237578674669
30.0,0.0,1,69160,3,3,0,9,4600000,0,0,0.6989110821540374
30.2,0.0,2,50739,1,1,1,8,109020,0,0,0.683166962884123
24.0,0.0,2,69454,2,1,1,6,194000,0,0,0.7194295503654974
38.0,0.0,1,26658,1,2,1,10,841620,0,0,0.6342365899109041
35.0,1.0,1,54816,3,1,1,9,200000,0,0,0.7194295503654974
42.0,1.0,1,133752,1,2,0,66,14717150,1,0,0.7028288409112735
39.0,1.0,1,35694,1,1,1,5,0,0,0,0.683166962884123
35.0,0.0,2,71154,3,1,0,3,0,0,0,0.7295003150180094
29.0,0.0,2,51152,1,1,1,2,134360,0,0,0.698531179865061
44.0,1.0,1,45796,1,2,1,7,1296960,0,0,0.7050484531983688
29.0,1.0,0,58812,2,1,1,4,323290,0,0,0.7065528646360607
41.0,1.0,2,94685,3,1,0,1,0,0,0,0.7028288409112735
45.0,0.0,2,140769,2,2,1,22,9577580,0,0,0.7092607604412382
45.0,1.0,2,62135,2,1,1,5,0,0,0,0.5955893821231233
31.0,0.0,1,55937,3,1,1,18,1827320,1,0,0.7740665011127292
35.0,0.0,0,33327,1,1,1,7,544560,0,0,0.5953765525951102
39.0,0.0,1,49592,2,1,0,12,3946480,1,0,0.7028288409112735
44.0,0.0,2,83084,3,2,1,16,11082000,1,0,0.6379843993734239
23.0,0.0,1,26563,1,1,1,3,150440,0,0,0.6753359528111106
28.0,0.0,1,55938,3,1,1,1,0,0,0,0.763421552435784
35.0,1.0,1,35284,2,1,0,5,834890,1,0,0.6741618832945772
30.0,1.0,1,92158,3,1,1,13,1072230,0,0,0.763421552435784
36.0,1.0,0,57044,2,1,1,9,0,0,0,0.683166962884123
28.0,1.0,1,71326,2,1,0,11,0,0,0,0.8160639742891412
33.0,0.0,2,56317,2,1,1,4,116400,0,0,0.6989110821540374
33.0,0.0,2,55441,2,1,1,16,0,0,0,0.7092607604412382
30.0,0.0,1,50609,2,1,0,14,8254930,1,0,0.7065528646360607
43.0,0.0,0,39564,1,1,1,5,632080,0,0,0.698531179865061
29.0,1.0,2,33134,1,2,1,28,13594350,1,0,0.6379843993734239
31.0,1.0,0,60555,1,1,1,2,0,0,0,0.7028288409112735
34.0,0.0,2,135879,3,2,1,14,3163760,0,0,0.6098957440667345
34.0,0.0,0,127616,4,3,0,4,13191530,0,0,0.763421552435784
39.0,1.0,2,117830,3,1,0,14,5175130,1,0,0.6989110821540374
36.0,0.0,2,107473,2,1,0,18,35460020,1,0,0.6753359528111106
39.0,1.0,1,58347,2,1,1,3,313450,0,0,0.7302630624839633
33.0,0.0,0,13743,1,1,1,6,333120,0,0,0.6077892105070524
37.0,1.0,2,51609,2,1,0,8,3912140,1,0,0.7302630624839633
30.0,0.0,2,67650,2,1,1,13,1670310,0,0,0.6077892105070524
27.0,0.0,2,35727,1,1,1,1,456170,1,0,0.8160639742891412
24.0,1.0,0,44740,2,1,1,4,0,0,0,0.6098957440667345
29.0,0.0,2,44630,2,1,0,1,0,0,0,0.683166962884123
43.0,0.0,1,46719,1,4,0,27,30869270,1,1,0.7698585742141875
32.0,0.0,0,28186,1,1,1,2,0,0,0,0.7302630624839633
46.0,1.0,1,49113,1,3,0,29,12205880,1,0,0.7302630624839633
33.0,1.0,0,82259,2,1,1,5,196560,0,0,0.6989110821540374
29.0,1.0,2,38569,1,1,1,17,4526790,1,0,0.7698585742141875
35.0,0.0,0,109992,3,2,0,5,3526230,0,0,0.6741618832945772
37.0,0.0,2,88715,2,1,0,5,2250980,1,0,0.6001946113311858
33.0,0.0,0,121332,1,2,0,62,19017290,1,0,0.6001946113311858
33.0,0.0,2,35057,3,1,0,0,0,0,0,0.7065528646360607
30.0,0.0,2,29106,1,3,1,17,3315120,0,0,0.8160639742891412
28.0,0.0,0,12938,1,1,0,2,0,0,0,0.6379843993734239
40.0,1.0,0,43969,1,3,0,27,5040480,1,0,0.7740665011127292
25.0,1.0,1,52364,2,2,1,11,2271730,0,0,0.6741618832945772
34.0,1.0,2,77156,3,2,0,3,1131560,0,0,0.7194295503654974
45.0,1.0,1,137082,2,2,1,53,5875810,1,0,0.6379843993734239
29.0,1.0,2,45245,1,1,1,28,265760,0,0,0.6098957440667345
33.0,0.0,1,43611,2,1,0,19,3023960,1,0,0.683166962884123
30.0,1.0,2,45923,2,1,1,5,400000,0,0,0.683166962884123
32.0,1.0,2,70428,1,1,1,2,0,0,0,0.6098957440667345
35.0,0.0,1,133783,1,2,0,60,17483970,1,0,0.6098957440667345
34.0,1.0,1,84850,3,1,1,4,0,0,0,0.7302630624839633
32.0,1.0,2,97722,2,1,0,79,27458220,1,0,0.7302630624839633
27.0,0.0,2,73194,2,1,1,11,1231540,1,0,0.654375558571176
30.0,0.0,2,63280,2,1,0,5,0,0,0,0.6001946113311858
30.0,0.0,2,40604,1,2,1,6,920230,0,0,0.6001946113311858
34.0,0.0,0,65729,2,2,0,16,9748190,1,0,0.5700438883328994
38.0,1.0,0,76069,2,1,1,14,921350,0,0,0.7698585742141875
44.0,0.0,2,91279,1,2,0,61,26927680,1,0,0.698531179865061
29.0,0.0,2,24049,2,1,0,2,0,0,0,0.683166962884123
35.0,0.0,0,41553,2,2,1,11,3328970,0,0,0.6999473490155224
34.0,0.0,2,25028,1,1,1,11,3506580,1,0,0.7340256711699624
42.0,0.0,2,38625,1,1,1,9,0,0,0,0.654375558571176
40.0,1.0,1,58207,1,3,0,56,16290800,1,0,0.8160639742891412
29.0,0.0,0,33320,2,1,0,9,253660,0,0,0.6999473490155224
39.0,0.0,1,57225,2,1,1,11,609830,0,0,0.698531179865061
28.0,1.0,1,52572,1,1,1,16,184650,0,0,0.6999473490155224
29.0,0.0,2,56243,2,1,0,1,0,0,0,0.5953765525951102
32.0,1.0,0,97153,2,2,1,30,10732480,1,0,0.7295003150180094
36.0,1.0,0,61575,2,1,0,3,1754320,1,0,0.8160639742891412
35.0,1.0,0,92559,3,1,1,1,0,0,0,0.6741618832945772
28.0,1.0,1,42027,2,1,0,6,0,0,0,0.7698585742141875
30.0,0.0,1,74051,1,2,1,53,3702370,0,0,0.683166962884123
26.0,0.0,2,38390,1,1,1,7,0,0,0,0.8160639742891412
39.0,0.0,2,80489,3,1,0,2,607260,0,0,0.6379843993734239
40.0,0.0,2,93113,1,3,1,44,4292240,0,0,0.6753359528111106
25.0,0.0,1,78754,2,2,0,57,26975690,1,0,0.6741618832945772
36.0,0.0,0,43083,1,2,1,38,1628780,0,0,0.7302630624839633
39.0,0.0,0,74684,2,2,1,16,2652520,0,0,0.7740665011127292
45.0,0.0,1,30921,1,1,0,61,15036790,1,0,0.6098957440667345
34.0,0.0,2,65053,2,1,1,13,705550,1,0,0.698531179865061
33.0,0.0,1,88180,3,2,0,8,1465000,0,0,0.7092607604412382
37.0,0.0,0,120771,2,1,1,1,0,0,0,0.5955893821231233
31.0,0.0,0,14489,1,1,1,3,210000,0,0,0.7194295503654974
38.0,1.0,0,50457,3,1,0,1,5715360,1,0,0.6379843993734239
35.0,0.0,0,17047,1,1,1,8,2097840,1,0,0.7340256711699624
36.0,0.0,2,78656,3,1,1,4,1193290,1,0,0.8160639742891412
28.0,1.0,2,80469,1,4,0,38,51680810,1,1,0.7050484531983688
29.0,0.0,0,63479,1,3,1,5,2759970,0,0,0.6098957440667345
28.0,0.0,2,128590,1,4,1,24,25128430,0,0,0.698531179865061
43.0,1.0,2,81206,1,3,1,12,6940080,1,0,0.7065528646360607
27.0,0.0,1,60246,1,1,1,10,4103180,1,0,0.6342365899109041
